model,split,rmse,mae
User mean + global,train,0.8578248431831289,0.48657970968465997
User mean + global,test,1.2544745433135596,0.8457077043450805
Bias-only ALS,train,2.758847118852752,2.542901055836416
Bias-only ALS,test,2.7790275208574515,2.561077762313437
LFM + time/verification/helpful,train,1.578545246471478,1.3522902092407845
LFM + time/verification/helpful,test,1.6285837855090322,1.4061953819879922

Run # 2
User mean + global,train,0.7851801764200326,0.4354128507251015
User mean + global,val,1.2535357921343335,0.8447475747621586
User mean + global,test,1.2544745433135596,0.8457077043450805
Bias-only ALS,train,0.9269759294245326,0.6671104602924985
Bias-only ALS,test,1.073622290779572,0.7700456457663539
LFM + time/verification/helpful,train,1.4107553987469186,1.1821647243905435
LFM + time/verification/helpful,test,1.4624510134742943,1.2371365364035112
